,"ADJETIVO","SUSTANTIVO","VERBO","ADVERBIO","GOMA"
1,"primero","año","ser","no","el"
2,"tercero","diario","haber","más","de"
3,"nuevo","país","estar","ya","que"
4,"nacional","día","tener","mucho","en"
5,"profesional","parte","hacer","también","y"
6,"diario","ley","poder","tanto","a"
7,"último","caso","decir","sólo","uno"
8,"general","estado","deber","además","del"
9,"mayor","presidente","dar","así","se"
10,"chileno","vez","archivar","hoy","por"
11,"segundo","empresa","ir","bien","con"
12,"mejor","trabajo","ver","ayer","su"
13,"buen","persona","llegar","ahora","para"
14,"gran","hora","realizar","después","al"
15,"pasado","servicio","querer","menos","este"
16,"importante","gobierno","encontrar","luego","como"
17,"social","proyecto","quedar","siempre","él"
18,"próximo","lugar","dejar","antes","o"
19,"alto","corpus","señalar","aún","yo"
20,"internacional","noticia","seguir","frente","otro"
21,"regional","número","saber","dentro","pero"
22,"público","forma","pasar","sí","todo"
23,"económico","región","existir","incluso",
24,"propio","tiempo","permitir","aquí",
25,"unido","sector","presentar","nunca",
26,"san","fin","esperar","casi",
27,"junto","artículo","llevar","entonces",
28,"local","derecho","crear","cuanto",
29,"personal","problema","tratar","cerca",
30,"especial","tema","entregar","tarde",
31,"grande","mercurio","mantener","ahí",
32,"menor","partido","recibir","especialmente",
33,"principal","medio","conocer","claro",
34,"argentino","mes","poner","bastante",
35,"anterior","sistema","tomar","asimismo",
36,"posible","edición","lograr","todavía",
37,"solo","ministro","considerar","tampoco",
38,"necesario","grupo","explicar","finalmente",
39,"total","anónimo","comenzar","actualmente",
40,"único","señor","trabajar","adelante",
41,"humano","vida","mostrar","allí",
42,"siguiente","situación","parecer","recién",
43,"político","fecha","cumplir","allá",
44,"igual","acuerdo","pensar","nuevamente",
45,"mundial","punto","volver","principalmente",
46,"militar","universidad","jugar","atrás",
47,"debido","respecto","contar","realmente",
48,"técnico","equipo","vivir","directamente",
49,"privado","norte","indicar","jamás",
50,"municipal","momento","pedir","posteriormente",
51,"informe","programa","salir","alrededor",
52,"legal","cuenta","asegurar","lejos",
53,"pequeño","recurso","venir","acá",
54,"largo","mundo","pesar","quizás",
55,"oficial","semana","buscar","siquiera",
56,"bajo","detalle","agregar","aun",
57,"central","producto","terminar","respectivamente",
58,"interior","director","participar","apenas",
59,"actual","obra","hablar","solamente",
60,"capital","nivel","producir","pronto",
61,"seguro","mercado","ganar","arriba",
62,"llamado","páginas","informar","demasiado",
63,"civil","salud","establecer","precisamente",
64,"fuerte","desarrollo","desarrollar","totalmente",
65,"superior","proceso","corresponder","simplemente",
66,"parlamentario","relación","perder","absolutamente",
67,"hecho","embargo","partir","efectivamente",
68,"cultural","casa","creer","prácticamente",
69,"distinto","política","afirmar","aproximadamente",
70,"comercial","gente","iniciar","recientemente",
71,"rojo","tribunal","destacar","definitivamente",
72,"laboral","fuente","enfrentar","completamente",
73,"máximo","cosa","obtener","detrás",
74,"supremo","información","llamar","claramente",
75,"médico","ex","ofrecer","gratis",
76,"español","tipo","ubicar","obviamente",
77,"malo","sur","reconocer","lamentablemente",
78,"patricio","opinión","sostener","probablemente",
79,"difícil","resultado","incluir","encima",
80,"diferente","norma","alcanzar","inmediatamente",
81,"libre","peso","manifestar","rápidamente",
82,"particular","actividad","resultar","aparte",
83,"real","ciudad","pagar","anoche",
84,"iniciativo","comisión","decidir","exclusivamente",
85,"interno","mujer","ocurrir","harto",
86,"antecedente","estudio","referir","abajo",
87,"santo","autoridad","aumentar","particularmente",
88,"respectivo","medida","generar","necesariamente",
89,"deportivo","cambio","recordar","allende",
90,"natural","zona","cambiar","seguramente",
91,"conocido","seguridad","ingresar","personalmente",
92,"dispuesto","Carlos","significar","generalmente",
93,"judicial","fondo","requerir","afuera",
94,"abierto","lago","entender","igualmente",
95,"fiscal","página","continuar","fundamentalmente",
96,"común","valor","aparecer","análogamente",
97,"cierto","través","sacar","oficialmente",
98,"grave","público","evitar","específicamente",
99,"joven","julio","sentir","anteriormente",
100,"ambiental","centro","acercar","justamente",
101,"establecido","hombre","necesitar","públicamente",
102,"armado","lunes","caer","temprano",
103,"práctico","institución","afectar","previamente",
104,"mínimo","senador","registrar","básicamente",
105,"completo","documento","demostrar","perfectamente",
106,"relacionado","condición","expresar","plenamente",
107,"medio","niño","asumir","normalmente",
108,"similar","corte","constituir","debajo",
109,"positivo","manera","reunir","fuertemente",
110,"listo","educación","declarar","atentamente",
111,"contrario","cargo","utilizar","acaso",
112,"estadounidense","acción","entrar","demás",
113,"penal","sala","solicitar","expresamente",
114,"industrial","poder","efectuar","exactamente",
115,"católico","final","responder","supuestamente",
116,"básico","familia","plantear","analíticamente",
117,"cercano","ministerio","conseguir","debidamente",
118,"blanco","sociedad","representar","altamente",
119,"responsable","efecto","aplicar","adicionalmente",
120,"verdadero","historia","abrir","diariamente",
121,"cuarto","septiembre","determinar","legalmente",
122,"directo","trabajador","gustar","delante",
123,"físico","precio","superar","aparentemente",
124,"electoral","diciembre","comentar","paralelamente",
125,"norteamericano","investigación","confirmar","constantemente",
126,"metropolitano","idea","apoyar","inicialmente",
127,"correspondiente","enero","articular","relativamente",
